@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
51,'2017/11/01 22:00:17:334',1,1,0,0.983394,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
52,'2017/11/01 22:00:17:348',1,1,0,0.982906,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
53,'2017/11/01 22:00:17:373',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
54,'2017/11/01 22:00:17:402',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
55,'2017/11/01 22:00:17:433',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
56,'2017/11/01 22:00:17:457',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
57,'2017/11/01 22:00:17:487',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
58,'2017/11/01 22:00:17:519',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
59,'2017/11/01 22:00:17:523',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
60,'2017/11/01 22:00:17:548',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
61,'2017/11/01 22:00:17:574',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
62,'2017/11/01 22:00:17:606',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
63,'2017/11/01 22:00:17:623',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
64,'2017/11/01 22:00:17:648',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
65,'2017/11/01 22:00:17:673',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
66,'2017/11/01 22:00:17:705',1,1,0,0.983883,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
67,'2017/11/01 22:00:17:723',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
68,'2017/11/01 22:00:17:748',1,1,0,0.983394,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
